date,store,upc,name,qty,unit_price,line_total,product_id,retailer,source_image
2026-06-29,walmart_5831,065651002470,Simply Egg Whites 1kg,3,9.47,28.41,6000196635381,walmart_ca,IMG_4806.JPG
2026-06-29,walmart_5831,655772019780,Double Burner,1,32.98,32.98,,walmart_ca,IMG_4806.JPG
2026-06-29,walmart_5831,082785400724,Foil Green 4.27,2,10.47,20.94,,walmart_ca,IMG_4792.JPG
2026-06-26,walmart_5831,0000000044130,Pear Bosc,1,14.80,14.80,,walmart_ca,IMG_4861.JPG
2026-07-01,walmart_5831,763679000230,Ice Cubes,3,3.98,11.94,,walmart_ca,IMG_4863.JPG
2026-05-27,walmart_5831,810097978120,Magic Bullet,1,34.97,34.97,,walmart_ca,IMG_4878.JPG
2026-05-27,walmart_5831,064767343050,Grayridge Eggs (6x),6,6.98,41.88,,walmart_ca,IMG_4878.JPG
2026-05-27,walmart_5831,067914544890,Shopping Bag,1,2.97,2.97,,walmart_ca,IMG_4878.JPG
2026-05-27,walmart_5831,033383119060,YFM 2lb Lemons,1,4.97,4.97,,walmart_ca,IMG_4878.JPG
2026-06-01,walmart_5831,627735279720,Eggs 30ct,3,9.18,27.54,,walmart_ca,IMG_4902.JPG
2026-06-01,walmart_5831,628915235420,Tomatoes Grape,6,3.47,20.82,,walmart_ca,IMG_4902.JPG
